Questions,Option 1,Option2
Panic or anxiety attacks or a fear of these attacks,yes,no
go to extreme lengths to avoid a situation that they think could bring on anxiety or panic.,yes,no
"Physical anxiety reactions – for example trembling, sweating, faintness, rapid heartbeat, difficulties breathing or nausea",yes,no
afraid of being negatively judged or evaluated by others.,yes,no
ad at least four panic attacks each month over an extended period of time.irrational anxiety and worries ,yes,no
 fear of these attacks,yes,no
Rapid heartbeat,yes,no
Choking,yes,no
Dizziness,yes,no
Shortness of breath,yes,no
