Questions,Option 1,Option2
Be easily offended,yes,no
Find it difficult to trust others,yes,no
Not cope with any type of criticism,yes,no
Assign harmful meanings to other people’s remarks,yes,no
Be always on the defensive,yes,no
"Be hostile, aggressive and argumentative",yes,no
Not be able to compromise,yes,no
"Find it difficult, if not impossible, to ‘forgive and forget’",yes,no
Assume that people are talking ill of them behind their back,yes,no
"Be overly suspicious – for example, think that other people are lying or scheming to cheat them",yes,no
